customer_id,home_store,customer_name,customer_email,customer_since,loyalty_card_number,birthdate,gender,birth_year
45,3,Harper Figueroa,Tashya@arcu.us,5/6/2017,203-603-4571,11/22/1957,M,1957
46,3,Zephania Yates,Duncan@et.net,5/8/2017,029-550-1237,1/23/1958,M,1958
47,3,Caleb Miranda,John@a.org,5/11/2017,807-423-0633,3/26/1958,M,1958
48,3,Simon Armstrong,Bertha@fringilla.com,5/14/2017,654-978-8530,5/27/1958,M,1958
49,3,Dale Holmes,Alfonso@lacus.com,5/17/2017,424-044-2556,7/28/1958,M,1958
50,3,Elton Lester,Colt@nunc.org,5/19/2017,017-112-7662,9/28/1958,M,1958
51,3,Valentine Joseph,Reese@dictum.edu,5/22/2017,805-407-8672,11/29/1958,M,1958
52,3,Drake Ochoa,Melinda@fermentum.gov,5/25/2017,710-304-2797,1/30/1959,M,1959
53,3,Robert Salas,Janna@convallis.edu,5/28/2017,787-654-2964,4/3/1959,M,1959
54,3,Ferris Kidd,Lysandra@adipiscing.gov,5/30/2017,383-139-9577,6/4/1959,M,1959
55,3,Justin Hart,Brynn@pede.org,6/2/2017,119-751-3976,8/5/1959,M,1959
56,3,Reed Holman,Karen@sociis.net,6/5/2017,199-920-1769,10/6/1959,M,1959
57,3,Kuame Cantu,Hedy@lacinia.edu,6/8/2017,256-419-8919,12/7/1959,M,1959
58,3,Adrian Carson,Stacy@tempus.net,6/10/2017,703-777-1632,2/7/1960,M,1960
59,3,Peter Hernandez,Georgia@Nulla.com,6/13/2017,983-004-2955,4/9/1960,M,1960
60,3,Raymond Forbes,Phelan@sed.edu,6/16/2017,524-730-2862,6/11/1960,M,1960
61,3,Tate Solis,Davis@fermentum.us,6/19/2017,752-217-2232,8/12/1960,M,1960
62,3,Valentine Butler,Brady@tellus.net,6/21/2017,703-338-1357,10/13/1960,M,1960
63,3,Lamar Chen,Preston@penatibus.edu,6/24/2017,403-049-6981,12/14/1960,M,1960
64,3,Macon Rush,Adrienne@Cras.org,6/27/2017,104-937-1984,2/14/1961,M,1961
65,3,Luke Beasley,Mufutau@elit.gov,6/30/2017,310-387-3534,4/17/1961,M,1961
66,3,Armando Faulkner,Amal@sociis.com,7/2/2017,309-219-0012,6/18/1961,M,1961
67,3,Barclay Clarke,Conan@ullamcorper.net,7/5/2017,511-786-9310,8/19/1961,M,1961
68,3,Tanek Craig,Rebekah@ullamcorper.gov,7/8/2017,399-348-1631,10/21/1961,M,1961
69,3,Caesar Estes,Chantale@massa.com,7/11/2017,463-990-0451,12/22/1961,M,1961
70,3,Ivor Levine,Irma@eleifend.us,7/13/2017,489-527-6220,2/22/1962,M,1962
71,3,Hall Patel,Denise@primis.org,7/16/2017,217-626-4681,4/25/1962,M,1962
72,3,Axel Fields,Herrod@at.gov,7/19/2017,026-870-4410,6/26/1962,M,1962
73,3,Geoffrey Wright,Kaitlin@parturient.org,7/22/2017,609-652-9928,8/27/1962,M,1962
74,3,Conan Glenn,Melyssa@ipsum.org,7/24/2017,329-949-6399,10/28/1962,M,1962
75,3,Giacomo Luna,Elliott@eleifend.us,7/27/2017,979-165-4242,12/30/1962,M,1962
76,3,Bruce Blackwell,Ima@pretium.net,7/30/2017,572-526-5147,3/2/1963,M,1963
77,3,Cullen Romero,Duncan@aptent.gov,8/2/2017,527-724-8593,5/3/1963,M,1963
78,3,Kato Bentley,Cody@aliquam.org,8/5/2017,785-964-9335,7/4/1963,M,1963
79,3,Brandon Walter,Kevyn@accumsan.edu,8/7/2017,557-211-3460,9/4/1963,M,1963
80,3,Benjamin Mcguire,Vernon@Duis.gov,8/10/2017,913-670-1136,11/5/1963,M,1963
81,3,Donovan Russo,Neil@Donec.gov,8/13/2017,215-509-6514,1/6/1964,M,1964
82,3,Conan Meyers,Charissa@varius.gov,8/16/2017,227-846-2083,3/8/1964,M,1964
83,3,Cedric Duke,Adrienne@lorem.com,8/18/2017,443-645-8649,5/10/1964,M,1964
84,3,Kareem Sanchez,Kuame@erat.org,8/21/2017,828-727-5876,7/11/1964,M,1964
85,3,Kibo Mayo,Avye@vitae.edu,8/24/2017,948-903-4949,9/11/1964,M,1964
86,3,Jack Mcdowell,Athena@Sed.gov,8/27/2017,166-246-9158,11/12/1964,M,1964
87,3,Porter Green,Deirdre@at.com,8/29/2017,003-132-5247,1/13/1965,M,1965
88,3,Hedley Fitzpatrick,Daria@pulvinar.gov,9/1/2017,360-458-8120,3/16/1965,M,1965
89,3,Addison Barrera,Adrian@ut.org,9/4/2017,084-213-3936,5/17/1965,M,1965
90,3,Brendan Mitchell,Joy@sit.gov,9/7/2017,501-147-3326,7/19/1965,M,1965
91,3,Hu Daniel,Merrill@Vivamus.com,9/9/2017,702-544-9634,9/19/1965,M,1965
92,3,Christian Massey,Patience@facilisi.com,9/12/2017,867-249-6572,11/20/1965,M,1965
93,3,Ian Jimenez,Hamish@laoreet.net,9/15/2017,088-083-1467,1/21/1966,M,1966
94,3,Ignatius Fitzpatrick,Dexter@in.gov,9/18/2017,686-116-8366,3/24/1966,M,1966
95,3,Gabriel Vargas,Kessie@ipsum.net,9/20/2017,485-255-6636,5/25/1966,M,1966
96,3,Nigel Yates,Malik@Cras.edu,9/23/2017,134-226-3957,7/26/1966,M,1966
97,3,Jonah Kent,Jana@nunc.us,9/26/2017,034-272-9190,9/26/1966,M,1966
98,3,Duncan Arnold,Scarlet@at.com,9/29/2017,755-191-3372,11/28/1966,M,1966
99,3,Orlando Shields,Ivory@scelerisque.us,10/1/2017,747-164-4596,1/29/1967,M,1967
100,3,Boris Estrada,Rosalyn@Proin.com,10/4/2017,406-350-0623,4/1/1967,M,1967
101,3,Castor Savage,Donovan@eget.gov,10/7/2017,418-472-9496,6/2/1967,M,1967
102,3,Tyrone Armstrong,Hilda@malesuada.com,10/10/2017,404-721-1224,8/3/1967,M,1967
103,3,Rigel Dalton,Stewart@nonummy.edu,10/12/2017,222-268-5708,10/4/1967,M,1967
104,3,Oleg Mccray,Carson@inceptos.edu,10/15/2017,509-169-2093,12/5/1967,M,1967
105,3,Ulric Bradshaw,Lee@cursus.net,10/18/2017,731-688-7204,2/6/1968,M,1968
106,3,Scott Russell,Lacey@elementum.gov,10/21/2017,854-586-9765,4/8/1968,M,1968
107,3,Akeem Wiley,Nell@arcu.gov,10/23/2017,984-827-9560,6/9/1968,M,1968
108,3,Herrod Garrison,Baxter@sociosqu.org,10/26/2017,738-873-5744,8/10/1968,M,1968
109,3,Dennis Leblanc,Ruth@tortor.org,10/29/2017,390-916-4716,10/11/1968,M,1968
110,3,Keane Robinson,Dara@dignissim.com,11/1/2017,046-864-3591,12/12/1968,M,1968
111,3,Isaiah Stevenson,Clayton@In.net,11/3/2017,714-419-2937,2/12/1969,M,1969
112,3,Allistair Ramirez,Tatum@Cum.gov,11/6/2017,253-876-9471,4/15/1969,M,1969
113,3,Gannon Rowe,Cameron@nascetur.us,11/9/2017,962-226-5001,6/17/1969,M,1969
114,3,Aquila Strong,Lucian@Morbi.org,11/12/2017,423-516-7004,8/18/1969,M,1969
115,3,Gabriel Hansen,Declan@fames.net,11/15/2017,035-933-1503,10/19/1969,M,1969
116,3,Reese Gibson,Gay@ipsum.edu,11/17/2017,595-850-6008,12/20/1969,M,1969
117,3,Lewis Deleon,Conan@tristique.us,11/20/2017,998-351-2564,2/20/1970,M,1970
118,3,Alec Emerson,Aretha@nunc.us,11/23/2017,302-595-2714,4/23/1970,M,1970
119,3,Cullen Harrell,Madeline@libero.org,11/26/2017,977-062-4695,6/24/1970,M,1970
120,3,Emery Stokes,Vera@Cras.us,11/28/2017,878-098-9349,8/26/1970,M,1970
121,3,Anthony Santiago,Louis@lorem.gov,12/1/2017,419-037-6499,10/27/1970,M,1970
122,3,Jermaine Ray,Josephine@convallis.us,12/4/2017,987-333-9350,12/28/1970,M,1970
123,3,Guy Taylor,Nayda@gravida.us,12/7/2017,253-334-6796,2/28/1971,M,1971
124,3,Holmes Dorsey,Ivy@pellentesque.com,12/9/2017,118-893-0232,5/1/1971,M,1971
125,3,Alexander Miller,Omar@sociis.net,12/12/2017,482-661-3695,7/2/1971,M,1971
126,3,Mark Baldwin,Porter@amet.net,12/15/2017,866-602-6723,9/2/1971,M,1971
127,3,Stuart Nunez,Noah@adipiscing.gov,12/18/2017,796-362-1661,11/3/1971,M,1971
128,3,Bernard Callahan,Anthony@placerat.org,12/20/2017,061-805-1586,1/5/1972,M,1972
129,3,Travis Carr,Thane@ullamcorper.com,12/23/2017,939-640-0576,3/7/1972,M,1972
130,3,Dale Marquez,Armand@massa.net,12/26/2017,656-130-6731,5/8/1972,M,1972
131,3,Amal Dejesus,Blaze@leo.gov,12/29/2017,557-490-4280,7/9/1972,M,1972
132,3,Tate Albert,Piper@Cum.net,12/31/2017,174-527-6126,9/9/1972,M,1972
133,3,Zahir Webb,Jermaine@Lorem.us,1/3/2018,389-154-7436,11/10/1972,M,1972
134,3,Ian Duncan,Jack@dolor.us,1/6/2018,814-963-1003,1/11/1973,M,1973
135,3,Matthew Mcneil,Elaine@Aliquam.com,1/9/2018,942-295-9967,3/15/1973,M,1973
136,3,Neil Bonner,Preston@lorem.us,1/11/2018,026-221-2273,5/16/1973,M,1973
137,3,Phelan Wiggins,Sybil@nostra.com,1/14/2018,298-064-0679,7/17/1973,M,1973
138,3,Gary Padilla,Zachary@dis.gov,1/17/2018,135-645-6065,9/17/1973,M,1973
139,3,Beck Griffin,Isabelle@viverra.edu,1/20/2018,309-009-5095,11/18/1973,M,1973
140,3,Elijah Pate,Galena@non.net,1/22/2018,648-469-4108,1/19/1974,M,1974
141,3,Marsden Whitaker,Amery@nunc.gov,1/25/2018,204-712-4465,3/22/1974,M,1974
142,3,Davis Joyner,Skyler@in.us,1/28/2018,966-683-7594,5/23/1974,M,1974
143,3,Uriah Schroeder,Kimberly@odio.edu,1/31/2018,588-506-6627,7/25/1974,M,1974
144,3,Ulysses Mann,Kelly@dui.net,2/2/2018,307-778-5972,9/25/1974,M,1974
145,3,Hamish Cervantes,Reuben@venenatis.us,2/5/2018,799-691-7563,11/26/1974,M,1974
146,3,Steel Beach,Teagan@placerat.us,2/8/2018,116-496-8758,1/27/1975,M,1975
147,3,Armand Williams,Herman@est.edu,2/11/2018,124-779-6796,3/30/1975,M,1975
148,3,Clinton Savage,Nicholas@Cum.us,2/13/2018,251-378-4718,5/31/1975,M,1975
149,3,Axel Hewitt,Dane@arcu.net,2/16/2018,702-268-3132,8/1/1975,M,1975
150,3,Ira Carroll,Harding@amet.us,2/19/2018,096-896-0097,10/3/1975,M,1975
151,3,Jelani Mathis,Alice@sapien.org,2/22/2018,877-118-5180,12/4/1975,M,1975
152,3,Zahir Davenport,Oscar@faucibus.gov,2/25/2018,603-037-9156,2/4/1976,M,1976
153,3,Alexander Rodriguez,Eleanor@Etiam.edu,2/27/2018,786-497-8882,4/6/1976,M,1976
154,3,Edan Nichols,Serena@augue.us,3/2/2018,509-601-7552,6/7/1976,M,1976
155,3,Brian Morse,Burton@sociosqu.com,3/5/2018,761-315-9076,8/8/1976,M,1976
156,3,Nasim Bruce,Cynthia@sociis.gov,3/8/2018,619-077-9026,10/9/1976,M,1976
157,3,Sylvester Cantrell,Noel@eros.edu,3/10/2018,186-802-3084,12/10/1976,M,1976
158,3,Conan Wilcox,Hadley@dignissim.net,3/13/2018,764-665-3571,2/11/1977,M,1977
159,3,Drake Murray,Connor@Maecenas.edu,3/16/2018,409-577-9493,4/14/1977,M,1977
160,3,Gray Lawrence,Madison@consectetuer.us,3/19/2018,530-335-0840,6/15/1977,M,1977
161,3,Clark Kane,Nathaniel@hendrerit.us,3/21/2018,287-047-5955,8/16/1977,M,1977
162,3,Rajah Watts,Walter@massa.net,3/24/2018,180-896-6658,10/17/1977,M,1977
163,3,Aidan Fuentes,Zelenia@sapien.com,3/27/2018,323-186-2822,12/18/1977,M,1977
164,3,Baker Turner,Herrod@imperdiet.us,3/30/2018,597-478-4844,2/18/1978,M,1978
165,3,Gareth Espinoza,Xanthus@montes.org,4/1/2018,508-420-9403,4/22/1978,M,1978
166,3,Noah Mendez,Inga@scelerisque.com,4/4/2018,984-103-7033,6/23/1978,M,1978
167,3,Isaiah Gates,Dorothy@elementum.gov,4/7/2018,108-281-8968,8/24/1978,M,1978
168,3,Ulysses Joseph,Scott@netus.edu,4/10/2018,864-325-6937,10/25/1978,M,1978
169,3,Camden Lyons,Lucy@velit.org,4/12/2018,117-586-4413,12/26/1978,M,1978
170,3,Carl Guthrie,Ezekiel@vel.net,4/15/2018,815-297-6502,2/26/1979,M,1979
171,3,Warren Church,Warren@Curabitur.edu,4/18/2018,440-377-0128,4/29/1979,M,1979
172,3,Nigel Turner,Ashely@hendrerit.edu,4/21/2018,242-162-0843,6/30/1979,M,1979
173,3,Daquan Stephenson,Christian@semper.org,4/23/2018,445-631-4114,9/1/1979,M,1979
174,3,John Fitzpatrick,Brynn@gravida.gov,4/26/2018,764-982-2467,11/2/1979,M,1979
175,3,Lawrence Pittman,Janna@rutrum.us,4/29/2018,315-438-4013,1/3/1980,M,1980
176,3,Ignatius Garza,Cadman@risus.gov,5/2/2018,071-467-0974,3/5/1980,M,1980
177,3,Jack Small,Adele@massa.com,5/4/2018,723-027-5036,5/6/1980,M,1980
178,3,Carlos Webster,Evangeline@scelerisque.us,5/7/2018,772-491-9747,7/7/1980,M,1980
179,3,Ray Benton,Brenda@blandit.org,5/10/2018,136-213-5544,9/7/1980,M,1980
180,3,Calvin Potter,George@at.net,5/13/2018,574-419-3111,11/9/1980,M,1980
181,3,Brenden Lloyd,Hu@semper.gov,5/15/2018,099-506-1871,1/10/1981,M,1981
182,3,Vernon Hubbard,Otto@vulputate.us,5/18/2018,679-651-1493,3/13/1981,M,1981
183,3,Peter Robertson,Ursula@vel.gov,5/21/2018,913-375-5124,5/14/1981,M,1981
184,3,Xenos Shepard,Nerea@nulla.edu,5/24/2018,278-534-9316,7/15/1981,M,1981
185,3,Rudyard Fletcher,Murphy@primis.edu,5/26/2018,597-228-0468,9/15/1981,M,1981
186,3,Hedley Compton,Morgan@lacinia.gov,5/29/2018,121-559-2647,11/16/1981,M,1981
187,3,Fitzgerald Miles,Faith@elit.edu,6/1/2018,813-508-9000,1/17/1982,M,1982
188,3,Odysseus Randall,Fletcher@Quisque.net,6/4/2018,263-853-6667,3/21/1982,M,1982
189,3,Jackson Rhodes,Chase@dapibus.com,6/7/2018,454-816-3685,5/22/1982,M,1982
190,3,Jelani Le,Sigourney@velit.us,6/9/2018,172-579-9378,7/23/1982,M,1982
191,3,Cullen Lynn,Wesley@velit.edu,6/12/2018,240-403-4055,9/23/1982,M,1982
192,3,Connor Pacheco,Claudia@leo.net,6/15/2018,744-282-4277,11/24/1982,M,1982
193,3,Phillip Mcclure,Craig@interdum.gov,6/18/2018,644-745-0510,1/25/1983,M,1983
194,3,Adrian Joyce,Fritz@turpis.net,6/20/2018,048-023-5482,3/28/1983,M,1983
195,3,Kennan Davidson,Nigel@nibh.gov,6/23/2018,560-611-7069,5/30/1983,M,1983
196,3,Damon Hester,Aristotle@venenatis.org,6/26/2018,167-907-4335,7/31/1983,M,1983
197,3,Castor Hurst,Maris@venenatis.net,6/29/2018,187-853-3252,10/1/1983,M,1983
198,3,Wang Morris,Allistair@velit.com,7/1/2018,949-946-9692,12/2/1983,M,1983
199,3,Raymond Shaffer,Candice@Pellentesque.net,7/4/2018,053-897-6508,2/2/1984,M,1984
200,3,Lance Le,Rebecca@orci.org,7/7/2018,090-849-1710,4/4/1984,M,1984
201,3,Xanthus Snyder,Brittany@Class.us,7/10/2018,868-536-2411,6/5/1984,M,1984
202,3,Henry Maxwell,Murphy@Phasellus.com,7/12/2018,079-274-1772,8/6/1984,M,1984
203,3,Mason Hester,Amery@nunc.edu,7/15/2018,012-254-4665,10/8/1984,M,1984
204,3,Jared Craft,Janna@sodales.net,7/18/2018,323-289-2590,12/9/1984,M,1984
205,3,Wallace Cameron,Giacomo@mollis.net,7/21/2018,234-158-2407,2/9/1985,M,1985
206,3,Carter Adkins,Amos@fermentum.com,7/23/2018,735-607-1940,4/12/1985,M,1985
207,3,Dolan Brady,Oprah@dui.edu,7/26/2018,914-529-2491,6/13/1985,M,1985
208,3,Zeus England,Graiden@elementum.gov,7/29/2018,922-772-8771,8/14/1985,M,1985
209,3,Gage Robinson,Laith@rutrum.com,8/1/2018,076-862-7948,10/15/1985,M,1985
210,3,Raphael Strong,Dale@montes.com,8/3/2018,988-672-4981,12/17/1985,M,1985
211,3,Jesse Walter,Dane@turpis.edu,8/6/2018,953-528-3480,2/17/1986,M,1986
212,3,Cedric Duffy,Eric@Class.org,8/9/2018,258-605-6465,4/20/1986,M,1986
213,3,Talon Elliott,Mariko@Ut.org,8/12/2018,720-631-5970,6/21/1986,M,1986
214,3,Burke Moss,Liberty@placerat.org,8/14/2018,511-460-1845,8/22/1986,M,1986
215,3,Ashton Patel,Gemma@blandit.edu,8/17/2018,708-850-6272,10/23/1986,M,1986
216,3,Kennan Weeks,Madonna@egestas.org,8/20/2018,714-388-5676,12/24/1986,M,1986
217,3,Tyler Key,Jescie@est.com,8/23/2018,449-594-5922,2/24/1987,M,1987
218,3,Ira David,Zenaida@eget.edu,8/25/2018,356-988-8022,4/28/1987,M,1987
219,3,Wyatt Huff,Wynne@laoreet.org,8/28/2018,973-550-8268,6/29/1987,M,1987
220,3,Wing Perkins,Jocelyn@pretium.com,8/31/2018,313-159-2789,8/30/1987,M,1987
221,3,Emery Hooper,Xander@vel.edu,9/3/2018,657-664-2467,10/31/1987,M,1987
222,3,Curran Maynard,Isadora@Suspendisse.org,9/5/2018,600-685-1754,1/1/1988,M,1988
223,3,Jakeem Garner,Damon@turpis.gov,9/8/2018,408-429-4954,3/3/1988,M,1988
224,3,Denton Slater,Barbara@adipiscing.us,9/11/2018,125-763-4404,5/4/1988,M,1988
225,3,Kermit Levy,Shaine@dolor.gov,9/14/2018,758-154-1198,7/6/1988,M,1988
226,3,Xanthus Morrow,Urielle@Maecenas.gov,9/17/2018,285-351-6991,9/6/1988,M,1988
227,3,Ryan Gilliam,Rajah@vulputate.org,9/19/2018,473-766-4643,11/7/1988,M,1988
228,3,Baker Clayton,Erica@fringilla.com,9/22/2018,655-094-1825,1/8/1989,M,1989
229,3,Craig Mathis,Amery@porta.org,9/25/2018,212-840-4513,3/11/1989,M,1989
230,3,Lars Paul,Donna@lectus.gov,9/28/2018,345-792-7492,5/12/1989,M,1989
231,3,Nehru Duncan,Willow@purus.gov,9/30/2018,918-918-8784,7/13/1989,M,1989
232,3,Justin Massey,Nissim@enim.edu,10/3/2018,274-909-2984,9/13/1989,M,1989
233,3,Gavin Roth,Noble@tempus.us,10/6/2018,752-364-4287,11/15/1989,M,1989
234,3,Samson Zamora,Wayne@Morbi.com,10/9/2018,615-118-0625,1/16/1990,M,1990
235,3,Lamar Mckenzie,Priscilla@venenatis.net,10/11/2018,424-902-9134,3/19/1990,M,1990
236,3,Thane Burns,Mia@lacus.org,10/14/2018,941-466-4274,5/20/1990,M,1990
237,3,Harper Shelton,Ali@dapibus.net,10/17/2018,494-024-5127,7/21/1990,M,1990
238,3,Jacob Clay,Jeanette@vulputate.gov,10/20/2018,420-925-2261,9/21/1990,M,1990
239,3,Gareth Barron,Asher@nibh.edu,10/22/2018,693-402-6539,11/22/1990,M,1990
240,3,Donovan Cruz,Madison@gravida.net,10/25/2018,625-957-7041,1/24/1991,M,1991
241,3,Wade Moran,Trevor@eu.com,10/28/2018,445-673-8287,3/27/1991,M,1991
242,3,Ali Miranda,Cyrus@pulvinar.edu,10/31/2018,304-740-9935,5/28/1991,M,1991
243,3,Wyatt Cardenas,Kato@euismod.gov,11/2/2018,088-038-0885,7/29/1991,M,1991
244,3,Abbot Charles,Walker@Nulla.edu,11/5/2018,820-676-1469,9/29/1991,M,1991
245,3,Devin Castillo,Bevis@Mauris.us,11/8/2018,773-432-9349,11/30/1991,M,1991
246,3,Maxwell Reid,Mollie@risus.net,11/11/2018,368-311-7578,1/31/1992,M,1992
247,3,Charles Cochran,Sage@suscipit.com,11/13/2018,943-152-9597,4/2/1992,M,1992
248,3,Fritz Washington,Rashad@scelerisque.edu,11/16/2018,661-677-9139,6/4/1992,M,1992
249,3,Cadman Morales,Erica@elit.edu,11/19/2018,721-559-0153,8/5/1992,M,1992
250,3,Forrest Gentry,Donna@Curae.com,11/22/2018,560-664-5637,10/6/1992,M,1992
251,3,Stone Thomas,Kiayada@Etiam.edu,11/24/2018,155-787-7046,12/7/1992,M,1992
252,3,Raphael Blake,Rudyard@Nunc.us,11/27/2018,795-406-5267,2/7/1993,M,1993
253,3,Zachary Serrano,Tucker@turpis.gov,11/30/2018,844-811-6893,4/10/1993,M,1993
254,3,Theodore Armstrong,Patrick@elit.org,12/3/2018,189-886-9518,6/11/1993,M,1993
255,3,Malcolm Fuller,Hamish@a.us,12/5/2018,441-897-0643,8/13/1993,M,1993
256,3,Uriah Fowler,Hayfa@Maecenas.com,12/8/2018,020-163-5669,10/14/1993,M,1993
257,3,Amos Henry,Minerva@lorem.org,12/11/2018,020-112-9681,12/15/1993,M,1993
258,3,Harding Meyer,Cheyenne@id.us,12/14/2018,967-916-1546,2/15/1994,M,1994
259,3,Roth Shelton,Jesse@ipsum.us,12/16/2018,176-997-5625,4/18/1994,M,1994
260,3,Chaim Haney,Hayden@ultrices.org,12/19/2018,010-652-9919,6/19/1994,M,1994
261,3,Barry Everett,Honorato@viverra.net,12/22/2018,867-328-2831,8/20/1994,M,1994
262,3,Craig Smith,Anastasia@mauris.com,12/25/2018,646-732-8281,10/21/1994,M,1994
263,3,Rashad Mckinney,Hashim@magnis.us,12/28/2018,028-487-7841,12/23/1994,M,1994
264,3,Noah Butler,Joelle@In.org,12/30/2018,265-862-6109,2/23/1995,M,1995
265,3,Geoffrey Bray,Brenda@sem.edu,1/2/2019,400-449-3117,4/26/1995,M,1995
266,3,Tucker Ramos,Nola@Lorem.net,1/5/2019,665-895-7670,6/27/1995,M,1995
267,3,Ira Vang,Gloria@feugiat.net,1/8/2019,955-835-2522,8/28/1995,M,1995
268,3,Ezekiel Craig,Drake@eu.org,1/10/2019,617-102-3297,10/29/1995,M,1995
269,3,Dolan Clayton,Cynthia@dolor.us,1/13/2019,266-620-7953,12/30/1995,M,1995
270,3,Levi Petersen,Zachary@vel.us,1/16/2019,295-333-7445,3/2/1996,M,1996
271,3,Ashton Dickson,Stacy@eget.net,1/19/2019,836-389-3462,5/3/1996,M,1996
272,3,Paki Adams,Connor@neque.org,1/21/2019,405-215-1879,7/4/1996,M,1996
273,3,Isaiah Fischer,Akeem@Pellentesque.us,1/24/2019,542-237-3906,9/4/1996,M,1996
274,3,Ross Rasmussen,Hanae@placerat.edu,1/27/2019,552-880-9647,11/5/1996,M,1996
275,3,Leroy Atkins,Mari@sit.org,1/30/2019,048-917-6368,1/6/1997,M,1997
276,3,Alvin Howe,Avye@nascetur.net,2/1/2019,449-824-8690,3/9/1997,M,1997
277,3,Phelan Savage,Kato@scelerisque.edu,2/4/2019,097-317-2855,5/10/1997,M,1997
278,3,Price Crane,Kasper@massa.org,2/7/2019,645-006-4940,7/12/1997,M,1997
279,3,Kuame Johnston,Wyoming@scelerisque.org,2/10/2019,978-328-0944,9/12/1997,M,1997
